iso3,area_id,indicator,lower,median,upper
ZMB,ZMB_1_10,pse_count,3033.7471488018064,5803.007116651264,10521.840679857529
ZMB,ZMB_1_11,pse_count,4687.287824289133,10919.573615543313,25125.813939644293
ZMB,ZMB_1_12,pse_count,2927.1155181836384,6433.596028417817,13747.476672437031
ZMB,ZMB_1_13,pse_count,1100.9102943188182,3444.5496149553587,9305.337012933232
ZMB,ZMB_1_14,pse_count,6200.0415556479165,12745.017289422558,25493.95964184306
ZMB,ZMB_1_15,pse_count,1115.1540636401855,2594.18682205009,5295.146220384093
ZMB,ZMB_1_16,pse_count,1063.5976956082627,3437.391366402472,10421.47337198323
ZMB,ZMB_1_17,pse_count,3345.092647521179,7366.730280278398,16228.193012786061
ZMB,ZMB_1_18,pse_count,1613.5224752681459,3840.2699095176904,9366.905506837626
ZMB,ZMB_1_19,pse_count,1183.6353642321903,2792.4990696654418,6110.571162458192
ZMB,ZMB_1_10,kplhiv,1332.8788628483908,2747.443090248737,4919.524088993651
ZMB,ZMB_1_11,kplhiv,2081.935369166556,5228.285744814695,11976.778897284976
ZMB,ZMB_1_12,kplhiv,1107.4154308924149,2516.684359484244,5680.81742674148
ZMB,ZMB_1_13,kplhiv,383.7964091545381,1312.2905746134916,3902.224752384896
ZMB,ZMB_1_14,kplhiv,2965.5348067815225,6195.406311811568,12621.502964391624
ZMB,ZMB_1_15,kplhiv,353.47445308689345,914.0365442101886,2081.0278531916115
ZMB,ZMB_1_16,kplhiv,334.492590705656,1176.7669568952374,3836.0597566887727
ZMB,ZMB_1_17,kplhiv,1524.302274108935,3412.9305758283235,7716.657933194383
ZMB,ZMB_1_18,kplhiv,733.3120534861762,1779.29373604178,4559.141998422539
ZMB,ZMB_1_19,kplhiv,507.24131846706274,1244.5315960702032,2802.0649592622653
ZMB,ZMB_1_10,kpart,952.3508062186975,1952.7078957883402,3561.5156917612885
ZMB,ZMB_1_11,kpart,1605.2310971259044,3923.577126810105,9291.804708273188
ZMB,ZMB_1_12,kpart,836.3994846770288,1920.595166240766,4579.386405635732
ZMB,ZMB_1_13,kpart,252.7946476564597,902.7394553570864,2675.261710288452
ZMB,ZMB_1_14,kpart,2316.109704693555,4895.60606237646,9990.824661342493
ZMB,ZMB_1_15,kpart,239.0442872684048,666.1747879493885,1570.4940716219562
ZMB,ZMB_1_16,kpart,223.24607731073624,856.6176773722232,2977.1763027875872
ZMB,ZMB_1_17,kpart,1119.6975747233666,2673.279922716411,5993.3552634100315
ZMB,ZMB_1_18,kpart,544.8610727466854,1367.6037126692331,3520.6126052160453
ZMB,ZMB_1_19,kpart,353.6044797467117,882.6095623704684,1992.0355324754635
ZMB,ZMB_1_10,pse,0.009179575180580312,0.01612886029523731,0.027944512594676955
ZMB,ZMB_1_11,pse,0.0066207643321165265,0.015290116088362313,0.03539956198500084
ZMB,ZMB_1_12,pse,0.007890076207439083,0.01562627548225107,0.032563458200636976
ZMB,ZMB_1_13,pse,0.004288393904997512,0.013016545170461764,0.03500535894512697
ZMB,ZMB_1_14,pse,0.006926244601099387,0.014334484593775038,0.028538836939854335
ZMB,ZMB_1_15,pse,0.007765238455112524,0.01497923137166925,0.029472658578267558
ZMB,ZMB_1_16,pse,0.0045679780889916815,0.013368766771473717,0.038710608963218485
ZMB,ZMB_1_17,pse,0.0094908415838354,0.01912860480757018,0.03949617756591815
ZMB,ZMB_1_18,pse,0.00883872103695049,0.01788930048416685,0.038904105340999785
ZMB,ZMB_1_19,pse,0.00801414651971531,0.016669148703597887,0.03258305979593236
ZMB,ZMB_1_10,prev,0.3766368916804991,0.4706145299257506,0.5760233504257887
ZMB,ZMB_1_11,prev,0.36981634869920427,0.4819428921021892,0.6035199752832655
ZMB,ZMB_1_12,prev,0.28994388354984096,0.40275293298433534,0.52631447877772
ZMB,ZMB_1_13,prev,0.2439927867677369,0.3871069481806594,0.5554410066203176
ZMB,ZMB_1_14,prev,0.38500960051550737,0.4924270021988083,0.6010012784686003
ZMB,ZMB_1_15,prev,0.24218625290183735,0.36079584854471103,0.49528558312042814
ZMB,ZMB_1_16,prev,0.20471159901011832,0.34406246229690696,0.5073561771085177
ZMB,ZMB_1_17,prev,0.36213523022495875,0.4631957310761784,0.5696901083060391
ZMB,ZMB_1_18,prev,0.3621823415737564,0.47293241652633866,0.6001057964255716
ZMB,ZMB_1_19,prev,0.34469344604529395,0.44995743488288403,0.5612829599572013
ZMB,ZMB_1_10,art_coverage,0.6104713475930491,0.7226671434721957,0.8138234569899663
ZMB,ZMB_1_11,art_coverage,0.625036311879952,0.7641960615569064,0.8613930423223719
ZMB,ZMB_1_12,art_coverage,0.6454319813342191,0.7687408796461415,0.8638253366908722
ZMB,ZMB_1_13,art_coverage,0.5370892016667613,0.7061782506606166,0.8234083233875776
ZMB,ZMB_1_14,art_coverage,0.6717717486651525,0.7959115921006249,0.8861478595896517
ZMB,ZMB_1_15,art_coverage,0.59242113713323,0.727133022485998,0.8245431093563182
ZMB,ZMB_1_16,art_coverage,0.5764242697410816,0.7369720393015056,0.8473525992623302
ZMB,ZMB_1_17,art_coverage,0.6648419957641154,0.7817246490985637,0.8715966309257819
ZMB,ZMB_1_18,art_coverage,0.6413406385261589,0.7743051577889395,0.8660455835320582
ZMB,ZMB_1_19,art_coverage,0.5814923340845648,0.7132930262901886,0.8133273266608794
ZMB,ZMB_1_10,pse_prop,0.01239847773665256,0.01239847773665256,0.01239847773665256
ZMB,ZMB_1_11,pse_prop,0.017395544425332084,0.017395544425332084,0.017395544425332084
ZMB,ZMB_1_12,pse_prop,0.013410593236994518,0.013410593236994518,0.013410593236994518
ZMB,ZMB_1_13,pse_prop,0.009121017237346454,0.009121017237346454,0.009121017237346454
ZMB,ZMB_1_14,pse_prop,0.01492077377563751,0.01492077377563751,0.01492077377563751
ZMB,ZMB_1_15,pse_prop,0.011392539765389226,0.011392539765389226,0.011392539765389226
ZMB,ZMB_1_16,pse_prop,0.009684147967803196,0.009684147967803196,0.009684147967803196
ZMB,ZMB_1_17,pse_prop,0.016425974842664122,0.016425974842664122,0.016425974842664122
ZMB,ZMB_1_18,pse_prop,0.014468952353723412,0.014468952353723412,0.014468952353723412
ZMB,ZMB_1_19,pse_prop,0.01165808422204522,0.01165808422204522,0.01165808422204522
